Gene.id,Neutrophil,RBC,Bcell,Monocyte,CD4.Tcell,CD8.Tcell,Platelet
ENSG00000171049,0.020628791,-0.03282366,-0.03215702,-0.029522341,-0.03282366,-0.03282366,-0.032784664
ENSG00000231412,-0.014143074,-0.03282366,-0.03282366,-0.032392254,-0.032779579,-0.03282366,-0.032743768
ENSG00000163421,0.057273379,-0.03282366,-0.032278934,-0.024639349,-0.032453259,-0.032721401,-0.032734153
ENSG00000206344,-0.004705961,-0.03282366,-0.032488694,-0.032670027,-0.032357827,-0.032509917,-0.032596359
ENSG00000103569,0.138699164,-0.03282366,-0.030389877,-0.012413722,-0.032803153,-0.032820263,-0.032730741
ENSG00000164047,-0.017842467,-0.03282366,-0.032664741,-0.032498301,-0.03282366,-0.032808909,-0.032807521
ENSG00000181631,0.054022561,-0.03282366,-0.030507013,-0.024999881,-0.03282366,-0.032799805,-0.03281061
ENSG00000131355,0.021524707,-0.03282366,-0.030883096,-0.028942246,-0.032814307,-0.032819787,-0.032815184
ENSG00000100368,0.1370721,-0.032820938,-0.025879775,-0.020555107,-0.031979778,-0.032214843,-0.03277797
ENSG00000119535,0.377306407,-0.03282366,-0.027797466,0.03425522,-0.032707173,-0.032689372,-0.032593998
ENSG00000115271,0.092663427,-0.032812513,-0.029584269,-0.020015517,-0.032197169,-0.032502734,-0.032764592
ENSG00000163563,0.498604906,-0.03282366,-0.017197663,0.033627165,-0.0323919,-0.032615506,-0.031264482
ENSG00000115590,-0.016530115,-0.03282366,-0.032605337,-0.032144743,-0.032776165,-0.032795051,-0.032815835
ENSG00000170956,-0.003562899,-0.03282366,-0.031157925,-0.031052932,-0.032819352,-0.032820092,-0.032788526
ENSG00000253616,-0.022660068,-0.03282366,-0.032767666,-0.032469917,-0.03282366,-0.03282366,-0.03282366
ENSG00000238160,-0.019761795,-0.032687382,-0.032675518,-0.032615687,-0.032770533,-0.032801659,-0.032655159
ENSG00000112303,0.153161601,-0.03282366,-0.025527937,-0.01308015,-0.031488235,-0.030248455,-0.032430935
ENSG00000169403,0.041396463,-0.03282366,-0.03128271,-0.018028204,-0.032792646,-0.032797973,-0.032655031
ENSG00000234506,-0.009117895,-0.03282366,-0.032035859,-0.030289132,-0.032747984,-0.03282366,-0.03282366
ENSG00000176788,0.121855152,-0.032805238,-0.023696131,-0.012803855,-0.03162069,-0.032461805,-0.032709768
ENSG00000255801,-0.026251769,-0.03282366,-0.03282366,-0.032731238,-0.03282366,-0.03282366,-0.03282366
ENSG00000135636,0.007315648,-0.032793627,-0.032269521,-0.025019447,-0.032716069,-0.032527497,-0.032792117
ENSG00000119917,0.009900208,-0.032743728,-0.030091748,-0.030315128,-0.031778257,-0.032432368,-0.032677918
ENSG00000198736,0.08091364,-0.032817349,-0.029571494,-0.009509839,-0.032103946,-0.032084914,-0.032517074
ENSG00000105352,0.007035713,-0.03282366,-0.031818226,-0.025321863,-0.032463735,-0.032791433,-0.03275314
ENSG00000239839,-0.024913635,-0.03282366,-0.032467048,-0.032788894,-0.032770373,-0.03282366,-0.032799516
ENSG00000146592,-0.01758658,-0.032823077,-0.032570116,-0.030171865,-0.032821387,-0.032819895,-0.032812331
ENSG00000171051,0.218998821,-0.03282366,-0.024566264,0.060746912,-0.032700898,-0.032764349,-0.032476018
ENSG00000093134,-0.018598087,-0.03282366,-0.032613303,-0.030230643,-0.032809861,-0.032777942,-0.032795524
ENSG00000239906,-0.026325655,-0.03282366,-0.03282366,-0.032689653,-0.032618264,-0.032789637,-0.03282366
ENSG00000112195,-0.005503897,-0.032800984,-0.028972167,-0.031203442,-0.032518266,-0.03277041,-0.032681647
ENSG00000166527,-0.015824351,-0.03282366,-0.032612905,-0.028273737,-0.03282366,-0.032818201,-0.03282366
ENSG00000260078,-0.024468539,-0.03282366,-0.0327255,-0.031846204,-0.03282059,-0.03282366,-0.032820878
ENSG00000151948,0.004393371,-0.032821703,-0.031961283,-0.018548991,-0.03281603,-0.032792063,-0.032782175
ENSG00000123610,-0.024712418,-0.03282366,-0.032723686,-0.031891632,-0.03282366,-0.03282366,-0.03282366
ENSG00000158825,0.062978706,-0.03282366,-0.029299258,0.009462987,-0.03282366,-0.032812249,-0.032548974
ENSG00000257878,-0.028374268,-0.03282366,-0.03282366,-0.032813618,-0.03282366,-0.03282366,-0.03282366
ENSG00000163220,5.938308178,-0.032752876,0.191911995,3.375743074,-0.029167325,-0.032252283,-0.013610618
ENSG00000248323,-0.026948945,-0.03282366,-0.032796814,-0.032538901,-0.0328028,-0.032809706,-0.03280912
ENSG00000188897,-0.025756127,-0.03282366,-0.032663693,-0.032802787,-0.032690169,-0.032512077,-0.03282366
ENSG00000163221,0.226584872,-0.03282366,-0.024747789,0.130337113,-0.032695585,-0.032760015,-0.032127303
ENSG00000267174,-0.012878496,-0.03282366,-0.032362754,-0.027338853,-0.03274618,-0.032791574,-0.032735896
ENSG00000143226,0.063930273,-0.032821099,-0.02691949,-0.002703721,-0.032808679,-0.032788504,-0.031676491
ENSG00000142405,-0.014796079,-0.03282366,-0.03226907,-0.027799326,-0.032813229,-0.032817181,-0.032814208
ENSG00000159339,0.040349492,-0.03282366,-0.031206401,-0.014676521,-0.032752204,-0.032705295,-0.028363813
ENSG00000101236,-0.00041557,-0.032758856,-0.031632193,-0.029481927,-0.031603739,-0.031869174,-0.032516323
ENSG00000204936,-0.028757664,-0.03282366,-0.032819716,-0.03282366,-0.03282366,-0.03282366,-0.03282366
ENSG00000134830,-0.017497634,-0.03282266,-0.031347055,-0.030663891,-0.032806104,-0.032791348,-0.03281659
ENSG00000160593,0.112954851,-0.03282366,-0.026924806,-0.000472454,-0.028901956,-0.027794115,-0.032556216
ENSG00000101307,-0.001122115,-0.03282366,-0.031072643,-0.023369437,-0.032653746,-0.032668498,-0.032772336
ENSG00000135083,-0.027987526,-0.032820704,-0.032771163,-0.03282178,-0.03282366,-0.032822467,-0.032640869
ENSG00000177191,-0.020940032,-0.032805498,-0.032265589,-0.031636455,-0.03261125,-0.032606685,-0.032817244
ENSG00000185201,0.572064927,-0.03282366,0.010599466,0.025715587,0.001487207,-0.005417588,-0.03033007
ENSG00000230257,-0.027757363,-0.03282366,-0.03282366,-0.032807863,-0.03282366,-0.03282366,-0.032472601
ENSG00000128383,0.071588671,-0.032820774,-0.02623359,0.028193142,-0.032773017,-0.032772395,-0.032685984
ENSG00000180953,-0.021992602,-0.03282366,-0.032279609,-0.032319479,-0.032626358,-0.032524071,-0.03260017
ENSG00000103313,0.005209381,-0.032822248,-0.029388173,-0.020604484,-0.032801633,-0.032805417,-0.032741323
ENSG00000158517,0.050820046,-0.03282366,-0.024889601,-0.001751853,-0.032586037,-0.032633201,-0.032656953
ENSG00000166523,0.00240574,-0.03282366,-0.031438634,-0.002167095,-0.032801747,-0.032814586,-0.032709479
ENSG00000204577,0.047172874,-0.03281455,-0.02535529,0.00030936,-0.032710011,-0.032691292,-0.032665961
ENSG00000181274,0.058050885,-0.032749837,-0.026836128,-0.022512057,-0.027997084,-0.028225255,-0.032666096
ENSG00000124731,0.003495917,-0.032822088,-0.030808925,-0.011464383,-0.032814465,-0.032816045,-0.032768111
ENSG00000059728,0.090808443,-0.032801152,-0.024616522,-0.008853967,-0.028593005,-0.02874348,-0.032537786
ENSG00000140749,0.011831907,-0.03282366,-0.029125203,-0.016166733,-0.032692177,-0.032621419,-0.032721533
ENSG00000102010,-0.029229685,-0.032821235,-0.03282366,-0.032802064,-0.03282366,-0.03282366,-0.03282366
ENSG00000100365,0.152694051,-0.03282366,-0.013164025,0.007005938,-0.025997013,-0.030305886,-0.032563909
ENSG00000165178,0.057828088,-0.03282366,-0.0222245,-0.000228352,-0.03250752,-0.032261479,-0.032570883
ENSG00000235568,0.03131977,-0.03282249,-0.026866919,0.002473618,-0.032759792,-0.032766984,-0.032683104
ENSG00000255587,-0.018580167,-0.032822068,-0.032110352,-0.028483059,-0.03276778,-0.032746523,-0.032815221
ENSG00000101916,-0.000666513,-0.03282366,-0.028544421,-0.022989442,-0.032796227,-0.032813562,-0.032801563
ENSG00000174130,-0.017161957,-0.032820277,-0.029596481,-0.03131749,-0.032700539,-0.032739896,-0.032821668
ENSG00000100504,0.020655011,-0.032817985,-0.029467728,-0.016682644,-0.032796006,-0.032736624,-0.029783884
ENSG00000116701,0.251582277,-0.03282366,0.000842313,0.093813017,-0.030802557,-0.031832805,-0.031710804
ENSG00000236438,-0.027223845,-0.03282366,-0.032705393,-0.032474503,-0.032735715,-0.032693479,-0.03282366
ENSG00000182487,0.02545562,-0.03282366,-0.02476257,-0.016574911,-0.032349284,-0.032297875,-0.032741479
ENSG00000204131,-0.022224581,-0.032823276,-0.032446417,-0.031529966,-0.032411499,-0.032531327,-0.032815512
ENSG00000196209,-0.009062852,-0.03282366,-0.030599142,-0.02358723,-0.032815753,-0.032808379,-0.032773502
ENSG00000127507,-0.004435986,-0.032818923,-0.02654252,-0.027916881,-0.032737481,-0.032696202,-0.032798559
ENSG00000211821,-0.023796467,-0.03282366,-0.030888352,-0.032807013,-0.032772627,-0.032654591,-0.032546189
